cod_municipio,obitos_cancer,pop_2021,obitos_cancer_100k
2600708,4,38397,10.417480532333256
2600807,1,22984,4.35085276714236
2601102,3,84864,3.5350678733031673
2601201,5,74822,6.682526529630323
2601409,1,42764,2.3384154896642033
2601706,4,76687,5.216007928332051
2601904,5,60880,8.21287779237845
2602100,3,48767,6.1517009453113785
2602308,1,38117,2.623501324868169
2602407,1,8987,11.127183709803049
2602902,16,208944,7.657554177195804
2603009,2,34503,5.796597397327768
2603702,2,24773,8.073305614984056
2603926,3,13025,23.032629558541267
2604007,1,84395,1.1849043189762427
2604106,40,365278,10.950563680265441
2604403,2,13556,14.753614635585718
2605004,1,24173,4.136846895296405
2605103,1,37375,2.6755852842809364
2605152,2,19079,10.482729702814613
2605301,3,31766,9.44405968645722
2605608,2,22618,8.84251481121231
2605707,4,33184,12.054001928640309
2606002,6,140577,4.2681235194946545
2606200,1,80055,1.2491412154144026
2606309,1,7537,13.267878466233249
2606408,1,84699,1.180651483488589
2607307,2,31187,6.412928463782986
2607505,2,26308,7.60225026607876
2607703,3,13553,22.13532059322659
2607752,1,26900,3.717472118959108
2607901,8,706867,1.1317546299374563
2608255,3,11485,26.121027427078797
2608453,4,18252,21.915406530791145
2608750,1,25849,3.868621610120314
2608800,1,40589,2.4637216979969945
2608909,1,56198,1.7794227552581943
2609600,5,393115,1.2718924487745316
2609907,4,69969,5.71681744772685
2610004,2,63500,3.1496062992125986
2610707,9,334376,2.6915807354594827
2610905,4,67735,5.905366501808518
2611101,49,354317,13.829423933934866
2611606,566,1653461,34.23122770963452
2611903,1,23628,4.232266802099204
2612208,1,61249,1.632679717219873
2612505,2,109897,1.8198858931544992
2612604,4,42100,9.501187648456057
2613008,3,60042,4.9965024482862
2613909,5,86915,5.752746936662256
2614105,1,36050,2.7739251040221915
2615003,3,29127,10.299721907508497
2615102,2,7198,27.785495971103085
2615201,2,10206,19.59631589261219
2615706,3,15243,19.681165124975397
2616001,1,18661,5.358769626493757
2616506,2,14757,13.552890153825302
2700102,1,20230,4.9431537320810675
2700201,1,17526,5.705808513066302
2700300,15,233047,6.436469896630293
2700805,2,4284,46.68534080298786
2701407,2,57537,3.476024123607418
2702306,2,57294,3.4907669214926518
2703601,1,8403,11.900511722004046
2704203,2,28771,6.951444162524765
2704302,191,1025360,18.627603963485996
2704807,2,13193,15.159554309103312
2705002,2,25207,7.9343039631848296
2706307,3,73337,4.090704555681307
2706406,1,24351,4.106607531518213
2706703,1,63846,1.5662688343827333
2707305,1,27249,3.66985944438328
2708006,4,47819,8.364875886154039
2708402,2,32405,6.171887054466903
2708907,2,13936,14.351320321469576
2800209,2,21681,9.224666758913335
2800308,145,664908,21.80752825954869
2802007,1,5215,19.175455417066157
2802908,11,96142,11.44140958166046
2803500,7,105221,6.652664392089032
2804003,2,17271,11.58010537895895
2804409,2,18703,10.693471635566487
2804458,1,8809,11.352026336701101
2804508,2,37324,5.358482477762298
2804805,4,185706,2.153942252808202
2804904,2,14540,13.75515818431912
2805604,3,28693,10.455511797302478
2805703,1,29692,3.3679105482958374
2806008,2,18773,10.653598252809887
2806503,1,3923,25.49069589599796
2900108,2,8710,22.962112514351322
