cod_municipio,obitos_circulatorio,pop_2021,obitos_circulatorio_100k
2102002,120,41822,286.93032375304864
2102036,80,34567,231.4346052593514
2102077,17,16438,103.41890740966055
2102101,100,36651,272.84385146380725
2102150,14,9014,155.31395606833814
2102200,99,28798,343.7738731856379
2102309,149,23939,622.4153055683195
2102325,95,72983,130.1672992340682
2102358,39,15467,252.149738152195
2102374,8,9478,84.40599282549061
2102408,23,11216,205.0641940085592
2102507,46,19451,236.49169708498277
2102556,28,14453,193.7314052445859
2102606,49,20278,241.64118749383567
2102705,56,22117,253.19889677623547
2102754,23,10935,210.33379058070417
2102804,132,24165,546.2445685909373
2102903,83,23952,346.5263861055444
2103000,873,165525,527.4127775260534
2103109,16,10693,149.63059945758908
2103125,8,8740,91.53318077803203
2103158,18,13670,131.67520117044623
2103174,32,21840,146.5201465201465
2103208,379,80195,472.5980422719621
2103257,31,14777,209.785477431143
2103307,423,123116,343.5784138536015
2103406,268,49621,540.0939118518369
2103505,131,41312,317.09914794732765
2103554,54,16400,329.2682926829268
2103604,248,65544,378.37178078847796
2103703,201,32626,616.0730705572244
2103752,17,12916,131.61969650046453
2103802,56,23372,239.60294369330822
2103901,29,11401,254.36365231120078
2104008,77,17104,450.1870907390084
2104057,142,42527,333.9055188468502
2104073,35,8484,412.54125412541254
2104081,33,10460,315.48757170172087
2104099,47,19258,244.05441894277703
2104107,46,12647,363.7226219656836
2104206,72,17790,404.7217537942664
2104305,13,11963,108.66839421549778
2104404,62,17944,345.51939366919305
2104503,48,10886,440.9333088370384
2104552,29,18520,156.58747300215984
2104602,53,14656,361.62663755458516
2104628,23,7844,293.2177460479347
2104651,25,10151,246.2811545660526
2104677,137,25539,536.4344727671405
2104701,24,6261,383.3253473885961
2104800,275,70065,392.49268536359097
2104909,37,11997,308.41043594231894
2105005,98,28932,338.7252868795797
2105104,74,27269,271.37042062415196
2105153,26,14324,181.5135437028763
2105203,43,11387,377.62360586633883
2105302,1646,259337,634.6953963375839
2105351,35,16005,218.68166198063105
2105401,140,68723,203.71636861021784
2105427,77,26068,295.3813104189044
2105450,17,10310,164.88845780795344
2105476,21,17040,123.2394366197183
2105500,44,23740,185.34119629317607
2105609,62,16198,382.7633041116187
2105708,241,50616,476.1340287656077
2105807,25,10869,230.01196062195234
