cod_municipio,ano,n_mulheres,pop_2021,n_mulheres_por_1k_hab
3150109,2021,156,2733,57.0801317233809
3150158,2021,501,8702,57.57297173063664
3150208,2021,319,4140,77.05314009661836
3150307,2021,411,4466,92.02866099417824
3150406,2021,279,5009,55.69974046715912
3150505,2021,1173,8688,135.01381215469613
3150539,2021,371,4986,74.40834336141195
3150570,2021,353,7524,46.91653375863902
3150604,2021,569,6398,88.93404188809002
3150703,2021,803,6348,126.49653434152489
3150802,2021,758,17634,42.98514233866395
3150901,2021,248,5488,45.18950437317784
3151008,2021,614,8640,71.06481481481481
3151107,2021,1113,10772,103.32343111771259
3151206,2021,8435,56640,148.92302259887006
3151305,2021,1348,10759,125.29045450320662
3151404,2021,3344,28215,118.51851851851852
3151503,2021,6047,34918,173.17715791282433
3151602,2021,969,12292,78.83176049463066
3151701,2021,1448,16846,85.9551228778345
3151800,2021,32834,168641,194.69761208721485
3151909,2021,408,8359,48.809666228017704
3152006,2021,3409,32035,106.41485874824411
3152105,2021,10098,59875,168.65135699373695
3152131,2021,282,4283,65.84169974317068
3152170,2021,550,12179,45.1597011248871
3152204,2021,2119,37864,55.96344813015001
3152303,2021,395,11348,34.80789566443426
3152402,2021,623,16616,37.49398170438132
3152501,2021,36179,152549,237.16314102353996
3152600,2021,743,5900,125.9322033898305
3152709,2021,1335,9080,147.02643171806167
3152808,2021,3960,28017,141.3427561837456
3152907,2021,698,8566,81.48494046229278
3153004,2021,301,3631,82.89727347838061
3153103,2021,315,5341,58.97771952817824
3153202,2021,260,3606,72.10205213533001
3153301,2021,241,3001,80.30656447850717
3153400,2021,2791,19627,142.2020685789983
3153509,2021,482,8301,58.06529333815203
3153608,2021,807,10834,74.48772383237954
3153707,2021,380,3584,106.02678571428571
3153806,2021,172,1943,88.5229027277406
3153905,2021,864,16429,52.58993243654513
3154002,2021,1553,23711,65.49702669646999
3154101,2021,630,10520,59.88593155893536
3154150,2021,402,7201,55.82557978058603
3154200,2021,837,11540,72.53032928942808
3154309,2021,1548,17396,88.98597378707748
3154408,2021,316,4817,65.60099647083247
3154457,2021,401,8134,49.299237767396114
3154507,2021,452,9476,47.69945124525116
3154606,2021,17525,338197,51.81891028010302
3154705,2021,494,4047,122.06572769953051
3154804,2021,809,10420,77.63915547024952
3154903,2021,1170,13473,86.84034736138945
3155009,2021,259,2620,98.85496183206106
3155108,2021,221,5133,43.05474381453341
3155207,2021,236,5402,43.687523139577934
3155306,2021,381,5879,64.8069399557748
3155405,2021,561,8957,62.63257787205538
3155504,2021,6868,12335,556.7896230239157
3155603,2021,1412,31045,45.482364309872764
3155702,2021,1357,14332,94.6832263466369
3155801,2021,1956,17959,108.91475026449135
3155900,2021,379,5485,69.0975387420237
3156007,2021,717,12739,56.28385273569354
3156106,2021,258,4562,56.55414291977203
3156205,2021,217,2320,93.53448275862068
3156304,2021,1752,8224,213.03501945525292
3156403,2021,457,3520,129.82954545454547
3156452,2021,545,4622,117.91432280398097
3156502,2021,370,5798,63.81510865815799
3156601,2021,501,10256,48.849453978159126
3156700,2021,10526,137125,76.76207839562443
3156809,2021,865,15416,56.11053450960041
3156908,2021,4863,26374,184.38613786304694
3157005,2021,3584,41699,85.94930334060768
3157104,2021,390,7012,55.618938961779804
3157203,2021,4088,31604,129.35071509935452
3157252,2021,415,8181,50.7272949517174
3157278,2021,283,3182,88.9377749842866
3157302,2021,271,4407,61.49307919219424
3157336,2021,635,8664,73.29178208679593
3157377,2021,335,4107,81.56805454102751
3157401,2021,293,4725,62.01058201058201
3157500,2021,325,4381,74.1839762611276
3157609,2021,318,3826,83.11552535284893
3157658,2021,173,6386,27.090510491700595
3157708,2021,2498,14255,175.23675903191864
3157807,2021,17528,220444,79.51225708116347
3157906,2021,811,16302,49.748497116918166
3158003,2021,1265,10857,116.51469098277609
3158102,2021,245,5217,46.961855472493774
3158201,2021,875,14611,59.88638696872219
3158300,2021,571,7073,80.72953485084123
3158409,2021,205,3891,52.68568491390388
3158508,2021,454,7589,59.823428646725525
3158607,2021,312,3981,78.37226827430294
3158706,2021,142,2476,57.35056542810985
3158805,2021,453,4834,93.71121224658668
3158904,2021,558,8667,64.38213914849429
3158953,2021,2957,35369,83.60428623936215
3159001,2021,618,4315,143.22132097334878
3159100,2021,238,3765,63.213811420982736
3159209,2021,663,8924,74.29403854773643
3159308,2021,402,4863,82.66502159161011
3159357,2021,499,7268,68.65712713263622
3159407,2021,207,3402,60.84656084656085
3159506,2021,422,5457,77.3318673263698
3159605,2021,7983,43753,182.45606015587504
